"rules","support","confidence","lift","count","chi"
"5","{Teddy} => {Cadbury Dairy Milk}",0.00258762133992526,0.276875483372003,18.1545023696682,358,0.769336495160994
"27","{Truffle Cake} => {Fresh Flower}",0.010198697515739,0.250889046941679,0.797343406919536,1411,0.968113484349885
"7","{Teddy} => {Fresh Flower}",0.00208888985262123,0.223511214230472,0.710334688627019,289,0.978491510540227
"9","{Blackforest Cake} => {Fresh Flower}",0.00366459223279918,0.215652913653764,0.685360445108583,507,0.968379013913558
"1","{Pineapple Cake} => {Fresh Flower}",0.00258762133992526,0.210340775558167,0.668478088788917,358,0.971717566687783
"21","{Greeting Card} => {Fresh Flower}",0.00357062832939408,0.181751287711553,0.577618643470035,494,0.954309261603047
"6","{Cadbury Dairy Milk} => {Teddy}",0.00258762133992526,0.169668246445498,18.1545023696682,358,0.769336495160994
"13","{Cadbury Dairy Milk} => {Fresh Flower}",0.00242860550339354,0.159241706161137,0.506081576943917,336,0.953031093910896
"3","{Ferraro Rocher} => {Fresh Flower}",0.00202383791949462,0.155382907880133,0.493818038915864,280,0.955564090917497
"11","{Cadbury Dairy Milk} => {Truffle Cake}",0.00214671379317822,0.140758293838863,3.4626690453237,297,0.9289088402191
"17","{Chocolate Cake} => {Fresh Flower}",0.00327428063403951,0.122897449810092,0.390576920466682,453,0.923031518882893
"19","{Greeting Card} => {Red Roses}",0.00200215394178575,0.101913171449595,1.49457167513493,277,0.97863183354955
"15","{Carnations} => {Lily}",0.0022334497040137,0.0759213759213759,1.07665009021098,309,0.995852565370759
"23","{Truffle Cake} => {Red Roses}",0.00249365743652016,0.0613442389758179,0.899622303004387,345,0.993692988522262
"12","{Truffle Cake} => {Cadbury Dairy Milk}",0.00214671379317822,0.0528093883357041,3.4626690453237,297,0.9289088402191
"25","{Truffle Cake} => {Fresh Flower Arrangement}",0.00200938193435537,0.0494310099573257,0.431499126670829,278,0.952531869646235
"24","{Red Roses} => {Truffle Cake}",0.00249365743652016,0.0365698537205851,0.899622303004387,345,0.993692988522262
"28","{Fresh Flower} => {Truffle Cake}",0.010198697515739,0.0324121930489514,0.797343406919536,1411,0.968113484349885
"16","{Lily} => {Carnations}",0.0022334497040137,0.0316728167281673,1.07665009021098,309,0.995852565370759
"20","{Red Roses} => {Greeting Card}",0.00200215394178575,0.0293618825524698,1.49457167513493,277,0.97863183354955
"26","{Fresh Flower Arrangement} => {Truffle Cake}",0.00200938193435537,0.0175405388352577,0.431499126670829,278,0.952531869646235
"10","{Fresh Flower} => {Blackforest Cake}",0.00366459223279918,0.0116463372613879,0.685360445108583,507,0.968379013913558
"22","{Fresh Flower} => {Greeting Card}",0.00357062832939408,0.0113477132290446,0.577618643470035,494,0.954309261603047
"18","{Fresh Flower} => {Chocolate Cake}",0.00327428063403951,0.0104058989731928,0.390576920466682,453,0.923031518882893
"2","{Fresh Flower} => {Pineapple Cake}",0.00258762133992526,0.00822364642914571,0.668478088788918,358,0.971717566687783
"14","{Fresh Flower} => {Cadbury Dairy Milk}",0.00242860550339354,0.00771828268210323,0.506081576943917,336,0.953031093910896
"8","{Fresh Flower} => {Teddy}",0.00208888985262123,0.00663864194978522,0.710334688627019,289,0.978491510540227
"4","{Fresh Flower} => {Ferraro Rocher}",0.00202383791949462,0.00643190223508603,0.493818038915864,280,0.955564090917497
